,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
4228,1,22000,92000.0,,DebtCon,Office,4.0,,12.0,218.0,1.0,39.0,
2980,0,16300,66038.0,98585.0,DebtCon,Office,1.0,0.0,0.0,162.0654119,3.0,19.0,32.75346067
3786,0,20000,66820.0,100000.0,HomeImp,Other,5.0,0.0,0.0,217.26666667,1.0,13.0,
1000,0,9400,,30455.0,HomeImp,Office,18.0,0.0,0.0,194.61421604,0.0,16.0,39.000064863
5758,0,43900,120527.0,174003.0,DebtCon,Self,13.0,0.0,0.0,167.20836635,0.0,4.0,39.289348981
2419,0,14500,41911.0,54985.0,DebtCon,ProfExe,4.0,0.0,0.0,254.66452576,0.0,35.0,38.724679607
5645,1,39400,162000.0,235000.0,DebtCon,Mgr,10.0,3.0,4.0,77.1,0.0,21.0,
3534,0,18600,119741.0,212530.0,DebtCon,Other,4.0,1.0,0.0,202.28857763,0.0,17.0,27.07376116
2728,0,15400,,55421.0,DebtCon,Office,2.0,0.0,0.0,81.278511267,2.0,9.0,38.723895033
416,0,6600,62380.0,89742.0,HomeImp,Office,31.0,0.0,0.0,232.52729073,0.0,16.0,26.160494887
640,0,7900,42400.0,53000.0,DebtCon,Other,2.0,0.0,1.0,95.366666667,0.0,20.0,
4433,1,23000,56000.0,92000.0,DebtCon,Other,8.0,1.0,4.0,69.133333333,2.0,27.0,
4288,0,22400,38669.0,105881.0,HomeImp,Other,6.0,0.0,0.0,125.24284167,0.0,14.0,32.778270828
2377,0,14300,94062.0,102052.0,DebtCon,Sales,14.0,,2.0,133.37810853,1.0,17.0,35.716612111
5,1,1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558
1062,0,9700,108000.0,210000.0,HomeImp,ProfExe,2.3,0.0,0.0,124.83333333,1.0,15.0,
806,0,8500,47777.0,78979.0,HomeImp,Other,18.0,0.0,0.0,202.95427654,1.0,16.0,34.828647504
5242,0,28400,36484.0,73478.0,DebtCon,Mgr,13.0,1.0,0.0,100.9750908,6.0,16.0,34.763993775
1992,0,12900,151991.0,179521.0,HomeImp,Office,6.0,0.0,0.0,186.8053299,0.0,55.0,34.19175206
645,0,7900,41935.0,53543.0,DebtCon,Office,8.0,0.0,0.0,203.54460997,1.0,22.0,31.491686795
